"index: Ascending","Average scoreMe","Average readError"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,"0.00010199652777777778","2.5e-7"
11,"0.00004774305555555556","2.5e-7"
12,"0.000018446180555555556","2.5e-7"
13,"0.00003634982638888889","2.5e-7"
14,"0.00026801215277777777","2.5e-7"
15,"0.0001150173611111111","2.5e-7"
16,"0.00014214409722222222","2.5e-7"
17,"0.000021158854166666667","2.5e-7"
18,"0.00015190972222222222","2.5e-7"
19,"0.00007324218750000001","2.5e-7"
20,"0.00018717447916666665","5e-7"
21,"0.0001687282986111111","5e-7"
22,"0.00037489149305555556","5e-7"
23,"0.00004503038194444444","5e-7"
24,"0.0003640407986111111","5e-7"
25,"0.00017686631944444444","5e-7"
26,"0.00010959201388888889","5e-7"
27,"0.00031195746527777775","5e-7"
28,"0.0004801432291666667","5e-7"
29,"0.00021592881944444445","5e-7"
30,"0.0005235460069444444","7.5e-7"
31,"0.00032714843749999997","7.5e-7"
32,"0.0005186631944444444","7.5e-7"
33,"0.0005929904513888889","7.5e-7"
34,"0.0002821180555555556","7.5e-7"
35,"0.0002457682291666667","7.5e-7"
36,"0.0003407118055555556","7.5e-7"
37,"0.00019368489583333333","7.5e-7"
38,"0.00018446180555555555","7.5e-7"
39,"0.0003369140625","7.5e-7"
40,"0.00019911024305555556","0.000001"
41,"0.00015462239583333333","0.000001"
42,"0.0002718098958333333","0.000001"
43,"0.0002978515625","0.000001"
44,"0.0001399739583333333","0.000001"
45,"0.00016221788194444443","0.000001"
46,"0.00033094618055555557","0.000001"
47,"0.00019205729166666666","0.000001"
48,"0.0002473958333333333","0.000001"
49,"0.00009819878472222223","0.000001"
50,"0.00026801215277777777","0.00000125"
51,"0.0003960503472222222","0.00000125"
52,"0.00025282118055555556","0.00000125"
53,"0.00041015625","0.00000125"
54,"0.00021375868055555558","0.00000125"
55,"0.0002956814236111111","0.00000125"
56,"0.0004758029513888889","0.00000125"
57,"0.0002951388888888889","0.00000125"
58,"0.00018446180555555555","0.00000125"
59,"0.00029079861111111114","0.00000125"
60,"0.00032443576388888886","0.0000015"
61,"0.0002658420138888889","0.0000015"
62,"0.0003792317708333333","0.0000015"
63,"0.00018012152777777777","0.0000015"
64,"0.00042426215277777775","0.0000015"
65,"0.00027886284722222223","0.0000015"
66,"0.00036024305555555554","0.0000015"
67,"0.0005034722222222222","0.0000015"
68,"0.0003743489583333333","0.0000015"
69,"0.0006358506944444444","0.0000015"
70,"0.0005072699652777777","0.00000175"
71,"0.0005121527777777777","0.00000175"
72,"0.0003200954861111111","0.00000175"
73,"0.0004806857638888889","0.00000175"
74,"0.000263671875","0.00000175"
75,"0.00029459635416666664","0.00000175"
76,"0.0003814019097222222","0.00000175"
77,"0.0006976996527777778","0.00000175"
78,"0.0005642361111111111","0.00000175"
79,"0.0002772352430555555","0.00000175"
80,"0.00045138888888888887","0.000002"
81,"0.00030327690972222225","0.000002"
82,"0.0003597005208333333","0.000002"
83,"0.000322265625","0.000002"
84,"0.0004758029513888889","0.000002"
85,"0.00038953993055555557","0.000002"
86,"0.00031629774305555556","0.000002"
87,"0.00031901041666666666","0.000002"
88,"0.00033420138888888887","0.000002"
89,"0.0005951605902777778","0.000002"
90,"0.00016764322916666666","0.00000225"
91,"0.00044921875","0.00000225"
92,"0.00043023003472222225","0.00000225"
93,"0.0005311414930555555","0.00000225"
94,"0.0003173828125","0.00000225"
95,"0.00047363281250000004","0.00000225"
96,"0.0006022135416666667","0.00000225"
97,"0.00091796875","0.00000225"
98,"0.0007145182291666667","0.00000225"
99,"0.0005609809027777778","0.00000225"
100,"0.0007204861111111111","0.0000025"
101,"0.0011100260416666667","0.0000025"
102,"0.0010237630208333333","0.0000025"
103,"0.0005984157986111112","0.0000025"
104,"0.0006521267361111111","0.0000025"
105,"0.0003434244791666667","0.0000025"
106,"0.0009006076388888888","0.0000025"
107,"0.0006586371527777777","0.0000025"
108,"0.0003119574652777778","0.0000025"
109,"0.0007611762152777778","0.0000025"
110,"0.0004606119791666667","0.00000275"
111,"0.0005973307291666667","0.00000275"
112,"0.0004736328125","0.00000275"
113,"0.0003559027777777778","0.00000275"
114,"0.0003879123263888889","0.00000275"
115,"0.0003716362847222222","0.00000275"
116,"0.0006982421875","0.00000275"
117,"0.0006781684027777778","0.00000275"
118,"0.0006689453125","0.00000275"
119,"0.0004839409722222222","0.00000275"
120,"0.000517578125","0.000003"
121,"0.0004920789930555555","0.000003"
122,"0.0003938802083333333","0.000003"
123,"0.0009619140625","0.000003"
124,"0.00032226562499999996","0.000003"
125,"0.00032389322916666667","0.000003"
126,"0.0005311414930555555","0.000003"
127,"0.0006049262152777778","0.000003"
128,"0.0006781684027777778","0.000003"
129,"0.0006418185763888889","0.000003"
130,"0.0007009548611111112","0.00000325"
131,"0.0006559244791666666","0.00000325"
132,"0.0006022135416666667","0.00000325"
133,"0.0008848741319444444","0.00000325"
134,"0.0004985894097222222","0.00000325"
135,"0.0003911675347222222","0.00000325"
136,"0.0005126953125","0.00000325"
137,"0.0005322265625","0.00000325"
138,"0.0005528428819444445","0.00000325"
139,"0.0008713107638888889","0.00000325"
140,"0.0005674913194444445","0.0000035"
141,"0.0007356770833333333","0.0000035"
142,"0.0004513888888888889","0.0000035"
143,"0.0006971571180555556","0.0000035"
144,"0.0006271701388888889","0.0000035"
145,"0.0006298828125","0.0000035"
146,"0.0005848524305555555","0.0000035"
147,"0.0007541232638888888","0.0000035"
148,"0.000478515625","0.0000035"
149,"0.0006000434027777778","0.0000035"
150,"0.0012006293402777777","0.00000375"
151,"0.0007986111111111112","0.00000375"
152,"0.0007438151041666667","0.00000375"
153,"0.0009733072916666667","0.00000375"
154,"0.0005723741319444445","0.00000375"
155,"0.0011566840277777777","0.00000375"
156,"0.0007459852430555555","0.00000375"
157,"0.00091796875","0.00000375"
158,"0.00042534722222222225","0.00000375"
159,"0.001353081597222222","0.00000375"
160,"0.0010796440972222223","0.000004"
161,"0.0006613498263888888","0.000004"
162,"0.000817599826388889","0.000004"
163,"0.0006678602430555555","0.000004"
164,"0.000859375","0.000004"
165,"0.0006689453125","0.000004"
166,"0.0008859592013888888","0.000004"
167,"0.0007378472222222222","0.000004"
168,"0.0009950086805555556","0.000004"
169,"0.001145290798611111","0.000004"
170,"0.0009695095486111111","0.00000425"
171,"0.0007541232638888888","0.00000425"
172,"0.0008159722222222223","0.00000425"
173,"0.0008327907986111112","0.00000425"
174,"0.00046875","0.00000425"
175,"0.0007052951388888889","0.00000425"
176,"0.0007628038194444444","0.00000425"
177,"0.0014176432291666667","0.00000425"
178,"0.0009044053819444444","0.00000425"
179,"0.0009071180555555555","0.00000425"
180,"0.0007937282986111112","0.0000045"
181,"0.0009212239583333334","0.0000045"
