"index: Ascending","Average scoreMe","Average writeError"
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,0,0
8,0,0
9,0,0
10,"0.00006076388888888888","0.000001"
11,"0.000005787037037037037","0.0000010000000000000002"
12,0,"0.0000010000000000000002"
13,"0.000009765625","0.000001"
14,"0.000005063657407407407","0.0000010000000000000002"
15,"0.000005787037037037037","0.000001"
16,"7.233796296296296e-7","0.000001"
17,0,"0.000001"
18,0,"0.000001"
19,"0.0000028935185185185184","0.000001"
20,"0.00006944444444444444","0.000002"
21,"0.00004340277777777778","0.0000020000000000000003"
22,"0.0002803096064814815","0.000002"
23,"0.000004701967592592592","0.000002"
24,"0.000006872106481481481","0.0000020000000000000003"
25,"0.000028211805555555558","0.000002"
26,"0.00005750868055555555","0.000002"
27,"0.000005063657407407407","0.000002"
28,"0.00007921006944444444","0.0000020000000000000003"
29,"0.000024233217592592595","0.000002"
30,"0.00003833912037037037","0.000003"
31,"0.000053168402777777775","0.000003"
32,"0.000049189814814814815","0.000003"
33,"0.00001121238425925926","0.000003"
34,"0.000020616319444444445","0.000003"
35,"0.00004050925925925926","0.000003"
36,"0.0000054253472222222224","0.000003"
37,"0.0000036168981481481483","0.000003"
38,"0.00002495659722222222","0.000003"
39,"0.000016637731481481482","0.000003"
40,"0.000030020254629629628","0.000004000000000000001"
41,"0.00002170138888888889","0.000004"
42,"0.0000072337962962962966","0.000004"
43,"0.000015914351851851854","0.000004000000000000001"
44,"0.000012297453703703704","0.000004000000000000001"
45,"0.000009403935185185186","0.000004"
46,"0.000006510416666666667","0.000004000000000000001"
47,"0.000010127314814814815","0.000004000000000000001"
48,"0.00004738136574074074","0.000004"
49,"0.000023148148148148147","0.000004"
50,"0.00001247829861111111","0.000004350000000000001"
51,"0.00008499710648148148","0.000005"
52,"0.000015190972222222223","0.000005"
53,"0.000010850694444444445","0.000005"
54,"0.00006546585648148149","0.000005"
55,"0.000012659143518518518","0.000005"
56,"0.00004991319444444444","0.000005"
57,"0.000018446180555555556","0.000005"
58,"0.000031105324074074076","0.000005"
59,"0.000007957175925925927","0.000005"
60,"0.00003580729166666667","0.000006"
61,"0.000026765046296296297","0.000006"
62,"0.000016637731481481482","0.000006"
63,"0.000024233217592592595","0.000006"
64,"0.000057870370370370366","0.000006"
65,"0.00001880787037037037","0.000006"
66,"0.00005461516203703704","0.000006"
67,"0.0000730613425925926","0.000006"
68,"0.00002025462962962963","0.000006"
69,"0.000024594907407407408","0.000006"
70,"0.00004484953703703704","0.000007"
71,"0.00009331597222222223","0.000007"
72,"0.000025318287037037036","0.000006999999999999998"
73,"0.000037254050925925924","0.000007"
74,"0.000027850115740740738","0.000007"
75,"0.00003219039351851852","0.000006999999999999998"
76,"0.00007269965277777777","0.000007"
77,"0.000049551504629629635","0.000006999999999999998"
78,"0.00009259259259259259","0.000007"
79,"0.00006727430555555556","0.000006999999999999998"
80,"0.000053168402777777775","0.000008"
81,"0.000024594907407407408","0.000008000000000000001"
82,"0.000035445601851851854","0.000008"
83,"0.00005895543981481482","0.000008"
84,"0.00002025462962962963","0.000008"
85,"0.00004448784722222223","0.000008000000000000001"
86,"0.000023148148148148147","0.000008"
87,"0.00007233796296296296","0.000008000000000000001"
88,"0.0000169994212962963","0.000008"
89,"0.00006148726851851851","0.000008"
90,"0.000032913773148148146","0.000009"
91,"0.00005099826388888889","0.000009"
92,"0.00002133969907407407","0.000009"
93,"0.00010380497685185185","0.000009"
94,"0.00009295428240740739","0.000009"
95,"0.00006582754629629629","0.000009"
96,"0.00007667824074074074","0.000009"
97,"0.00007848668981481481","0.000009"
98,"0.0001294849537037037","0.000009"
99,"0.000030381944444444447","0.000009"
100,"0.00002170138888888889","0.00001"
101,"0.00017686631944444444","0.00001"
102,"0.00015010127314814815","0.00001"
103,"0.00006329571759259259","0.00001"
104,"0.00003761574074074074","0.00001"
105,"0.000049551504629629635","0.00001"
106,"0.0000390625","0.00001"
107,"0.00007740162037037038","0.00001"
108,"0.00007450810185185185","0.00001"
109,"0.00004304108796296296","0.00001"
110,"0.00005280671296296296","0.000011000000000000001"
111,"0.00008789062500000001","0.000011000000000000001"
112,"0.00007414641203703704","0.000011000000000000001"
113,"0.00006980613425925926","0.000011000000000000001"
114,"0.00006112557870370371","0.000011000000000000001"
115,"0.00004774305555555556","0.000011000000000000001"
116,"0.00006221064814814814","0.000011000000000000001"
117,"0.000032913773148148146","0.000011000000000000001"
118,"0.0002445023148148148","0.000011000000000000001"
119,"0.00005750868055555555","0.000011000000000000001"
120,"0.00007450810185185185","0.000012"
121,"0.0000415943287037037","0.000012"
122,"0.00004991319444444444","0.000012"
123,"0.00005280671296296296","0.000012"
124,"0.00005931712962962963","0.000012"
125,"0.00006365740740740742","0.000012"
126,"0.000048104745370370364","0.000012"
127,"0.000039785879629629626","0.000012"
128,"0.00020326967592592594","0.000012"
129,"0.00006293402777777778","0.000012"
130,"0.00003870081018518519","0.000012999999999999998"
131,"0.00012008101851851851","0.000012999999999999998"
132,"0.00015227141203703705","0.000012999999999999998"
133,"0.00009982638888888888","0.000013"
134,"0.00003363715277777778","0.000013"
135,"0.00003580729166666667","0.000013"
136,"0.000035445601851851854","0.000013"
137,"0.000045211226851851856","0.000012999999999999998"
138,"0.00005208333333333334","0.000013"
139,"0.000060402199074074075","0.000012999999999999998"
140,"0.0000339988425925926","0.000013999999999999996"
141,"0.0001345486111111111","0.000014"
142,"0.00005859375","0.000014"
143,"0.00006257233796296296","0.000014"
144,"0.0000831886574074074","0.000014"
145,"0.00008246527777777777","0.000013999999999999996"
146,"0.00006438078703703704","0.000014"
147,"0.00010018807870370372","0.000014"
148,"0.00003472222222222222","0.000013999999999999996"
149,"0.000028211805555555558","0.000013999999999999996"
150,"0.00019422743055555556","0.000014999999999999999"
151,"0.00009295428240740741","0.000015"
152,"0.000042679398148148154","0.000014999999999999999"
153,"0.00003689236111111111","0.000014999999999999999"
154,"0.00003653067129629629","0.000015"
155,"0.00006112557870370371","0.000014999999999999999"
156,"0.000032913773148148146","0.000014999999999999999"
157,"0.000022063078703703706","0.000015"
158,"0.0000755931712962963","0.000014999999999999999"
159,"0.00006438078703703704","0.000014999999999999999"
160,"0.00006329571759259259","0.000016"
161,"0.00004701967592592592","0.000016"
162,"0.00009657118055555554","0.000016"
163,"0.00012550636574074073","0.000016000000000000003"
164,"0.00006691261574074074","0.000016"
165,"0.000035083912037037035","0.000016"
166,"0.00008535879629629631","0.000016"
167,"0.00007595486111111111","0.000016"
168,"0.00006655092592592593","0.000016"
169,"0.00005027488425925926","0.000016"
170,"0.00003544560185185185","0.000017000000000000003"
171,"0.00009584780092592593","0.000017000000000000003"
172,"0.00008789062500000001","0.000017000000000000003"
173,"0.00004014756944444444","0.000017000000000000003"
